"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"8132",42,18,122,75,0.393,21.18,9.6,108,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8133",42.8,15,106,78,0.396,20.4,7.9,119,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8134",50.8,9,130,81,0.435,19.74,6.5,104,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8135",79.3,4,131,82,0.576,19.21,3.5,80,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8136",65.3,5,151,84,0.504,18.31,3.8,18,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 2"
"8148",145,6,94,54,0.85,25.04,4.8,150,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8150",37.7,35,124,50,0.378,27.03,11.5,107,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"8151",32.2,50,115,48,0.351,27.35,12.1,96,"Intervalo 4","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"8152",37.1,56,128,56,0.375,26.49,15.4,101,"Intervalo 4",NA,NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8153",40.2,51,155,60,0.389,25.29,16.7,101,"Intervalo 5",NA,NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8154",40.5,36,155,64,0.389,24.06,14.7,102,"Intervalo 5","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8155",42.5,22,129,73,0.396,22.11,14.3,107,"Intervalo 5","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8156",33.4,30,137,76,0.349,21.25,13.1,122,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8157",29.5,26,113,73,0.33,21.29,10.5,121,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8158",24.5,23,100,73,0.305,21.35,11.4,122,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8159",25.3,15,78,76,0.309,21.25,7.7,133,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
