"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"4041",12.9,10,67,72,0,23.93,6.6,17,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4042",14.4,15,80,65,0,26.56,5.6,17,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4043",14.6,24,61,57,0,28.26,8.5,21,"Intervalo 2","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 3"
"4044",9.4,30,79,52,0,29.15,13.3,18,"Intervalo 1","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4045",8.4,40,71,47,0,30.63,13.7,21,"Intervalo 1","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"4046",9.3,46,65,40,0,32.73,13.5,22,"Intervalo 1","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"4047",8.6,44,64,34,0,33.88,14.8,21,"Intervalo 1","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"4048",8.6,33,58,31,0,34.73,16.9,20,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4049",7.7,31,57,29,0,34.88,17.8,20,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4050",7.5,26,52,35,0,33.46,23.1,21,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"4052",11.3,22,46,54,0,27.82,14.8,21,"Intervalo 2","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"4053",10.5,20,27,51,0,27.56,12.5,20,"Intervalo 2","Intervalo 2","Intervalo 3",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4054",14.6,14,32,61,0,26.37,13.1,16,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4055",12,15,40,64,0,26.02,11.2,18,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4056",12,13,49,66,0,25.85,11.9,20,"Intervalo 2","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4057",10.2,15,33,66,0,25.7,13.3,19,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4058",9.7,14,41,68,0,25.06,10.5,18,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4059",8,17,42,70,0,24.65,9.5,20,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4060",7.8,16,42,71,0,24.23,9.3,20,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4061",7.4,15,30,73,0,23.65,10.5,19,"Intervalo 1","Intervalo 2","Intervalo 3",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4063",8.7,10,41,77,0,22.73,9.5,17,"Intervalo 1","Intervalo 1","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4064",9.3,10,28,79,0,22.66,9.1,17,"Intervalo 1","Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4065",9.2,12,28,78,0,23.05,10.3,17,"Intervalo 1","Intervalo 2","Intervalo 3",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4066",8.9,16,46,74,0,24.12,10,20,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4067",8.2,24,36,61,0,27.46,10.6,20,"Intervalo 1","Intervalo 3","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4068",7.2,33,50,53,0,28.77,13.5,20,"Intervalo 1","Intervalo 4","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
