"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"13499",22.8,34,88,52,0.677,29.62,11.5,139,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13500",25.1,49,90,49,0.765,30.43,15.8,131,"Intervalo 3","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13501",18.4,47,92,44,0.809,31.51,19.3,118,"Intervalo 2","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13502",9.9,34,76,36,0.809,33.09,22.4,132,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 3",NA
"13503",7.7,31,60,31,0.74,34.19,22.4,136,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 3",NA
"13504",7.8,32,57,29,0.605,35.43,18.7,147,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13505",7.9,31,47,26,0.442,36.04,17.9,141,"Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13506",8.7,28,38,24,0.268,36.38,17.2,143,"Intervalo 1","Intervalo 3","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13507",9.9,25,39,21,0.103,36.17,14.6,151,"Intervalo 1","Intervalo 3","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13510",8.5,18,51,32,0,32.64,15.5,150,"Intervalo 1","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13511",6.3,15,61,44,0,31.02,15,134,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13512",7,12,76,52,0,29.68,14.2,132,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13513",7.4,11,78,55,0,28.6,14.1,132,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13514",9.6,9,72,58,0,27.81,13.7,133,"Intervalo 1","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13515",18.9,3,68,62,0,26.77,14.7,149,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13516",17.6,3,70,66,0,25.8,17.2,156,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13520",23.5,6,80,65,0.183,26.72,6,157,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13521",28.8,11,79,59,0.372,28.34,6.6,144,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13522",28.3,20,86,51,0.547,30.62,6.2,140,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 4","Intervalo 1",NA
"13523",30.4,34,88,49,0.675,30.28,12.1,133,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13524",33.1,40,99,44,0.763,31.09,14.2,127,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13525",22.4,71,105,40,0.809,32.4,16.8,124,"Intervalo 3",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13526",13.2,46,103,32,0.81,33.73,19.1,123,"Intervalo 2","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13527",9.1,36,79,24,0.742,35,19,131,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13528",9.5,34,48,25,0.606,35.79,16.6,141,"Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13529",8.2,31,51,21,0.444,36.61,16.4,146,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13530",8.6,28,62,19,0.266,36.77,17.4,138,"Intervalo 1","Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13531",10.1,24,60,18,0.098,36.21,17.9,144,"Intervalo 2","Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13533",14.6,18,45,22,0,33.69,8.1,150,"Intervalo 2","Intervalo 2","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 1",NA
"13534",9.2,19,51,30,0,32.43,15.5,139,"Intervalo 1","Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13535",8.2,17,71,37,0,30.97,16.6,131,"Intervalo 1","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13536",7.8,17,71,40,0,30.06,16.6,125,"Intervalo 1","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13537",10.9,13,70,44,0,29.14,12,145,"Intervalo 2","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13538",17.6,5,76,50,0,27.7,12.2,148,"Intervalo 2","Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13539",18.7,4,82,55,0,26.65,14.5,151,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13540",19.7,3,77,59,0,25.86,13.4,153,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13544",27.5,6,86,64,0.187,26.1,6.7,157,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13547",26.7,39,113,50,0.677,30.23,10.5,147,"Intervalo 3","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13548",28.9,55,114,45,0.765,31.35,14.5,131,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
