"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"11394",30.6,30,97,47,0.163,30.72,15.2,155,"Intervalo 4","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"11395",28.4,27,93,49,0.043,29.7,15.3,160,"Intervalo 3","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11396",45.1,18,90,50,0.001,29.29,11.2,144,"Intervalo 5","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11397",54.1,12,89,53,0,28.71,9.1,147,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11398",49,11,107,60,0,27.98,10.5,142,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11399",33.2,12,97,69,0,26.68,11.7,140,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11402",16.4,18,65,79,0,24.56,6.4,98,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11403",12,19,54,80,0,24.26,5.5,66,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11404",12.1,18,55,81,0,24.09,2.5,165,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11412",10.8,41,98,37,0.649,33.97,6.8,2,"Intervalo 2","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 1","Intervalo 1"
"11415",11.7,39,53,23,0.6,35.45,19,15,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"11417",25.5,31,128,40,0.281,29.67,23.5,167,"Intervalo 3","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 3",NA
"11419",38.1,22,121,36,0.056,30.93,11,156,"Intervalo 4","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"11420",46.3,16,78,47,0.001,28.21,12,130,"Intervalo 5","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11421",48.5,16,86,54,0,25.78,16.8,144,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11422",37.5,19,95,60,0,24.46,16.4,148,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11423",31.8,21,77,58,0,23.89,12.5,150,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11424",34.5,17,63,62,0,23.04,6.2,102,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11425",22.7,20,58,65,0,22.21,4.2,38,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 4"
